epoch,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
106,106,,,0.4188283383846283,,
106,106,,,,0.7749999761581421,0.3970702886581421
107,107,,,0.40661272406578064,,
107,107,,,,0.7839999794960022,0.38472363352775574
108,108,,,0.3938562870025635,,
108,108,,,,0.7940000295639038,0.37185466289520264
109,109,,,0.38055419921875,,
109,109,,,,0.8080000281333923,0.35845649242401123
110,110,,,0.36670583486557007,,
110,110,,,,0.8209999799728394,0.34452083706855774
111,111,,,0.35230395197868347,,
111,111,,,,0.8320000171661377,0.33003488183021545
112,112,,,0.3373430669307709,,
112,112,,,,0.847000002861023,0.31499409675598145
113,113,,,0.3218165934085846,,
113,113,,,,0.8560000061988831,0.29937824606895447
114,114,,,0.30571964383125305,,
114,114,,,,0.875,0.28318923711776733
115,115,,,0.2890613377094269,,
115,115,,,,0.8859999775886536,0.2664642333984375
116,116,,,0.2718871533870697,,
116,116,,,,0.8980000019073486,0.24924296140670776
117,117,,,0.2542319893836975,,
117,117,,,,0.9139999747276306,0.23158912360668182
118,118,,,0.23616167902946472,,
118,118,,,,0.9259999990463257,0.21362756192684174
119,119,,,0.21779999136924744,,
119,119,,,,0.9409999847412109,0.19554081559181213
120,120,,,0.19932419061660767,,
120,120,,,,0.9470000267028809,0.177570179104805
121,121,,,0.1809666007757187,,
121,121,,,,0.9570000171661377,0.15998923778533936
122,122,,,0.162991464138031,,
122,122,,,,0.9649999737739563,0.14308075606822968
123,123,,,0.14567655324935913,,
123,123,,,,0.9739999771118164,0.12710805237293243
124,124,,,0.12928545475006104,,
124,124,,,,0.9810000061988831,0.11229663342237473
125,125,,,0.1140492856502533,,
125,125,,,,0.9850000143051147,0.09881498664617538
126,126,,,0.10014654695987701,,
126,126,,,,0.9860000014305115,0.08675391227006912
127,127,,,0.08767999708652496,,
127,127,,,,0.9909999966621399,0.07612092792987823
128,128,,,0.07666952162981033,,
128,128,,,,0.9919999837875366,0.06685183942317963
129,129,,,0.06706049293279648,,
129,129,,,,0.996999979019165,0.05883175879716873
130,130,,,0.05874728783965111,,
130,130,,,,0.9990000128746033,0.051924802362918854
131,131,,,0.051601000130176544,,
131,131,,,,1.0,0.04599074646830559
132,132,,,0.04548170790076256,,
132,132,,,,1.0,0.04089346528053284
133,133,,,0.0402490571141243,,
133,133,,,,1.0,0.036507558077573776
134,134,,,0.035770248621702194,,
134,134,,,,1.0,0.032722242176532745
135,135,,,0.03192643076181412,,
135,135,,,,1.0,0.02944261208176613
136,136,,,0.02861500158905983,,
136,136,,,,1.0,0.02659028396010399
137,137,,,0.025750892236828804,,
137,137,,,,1.0,0.02410087175667286
138,138,,,0.023263780400156975,,
138,138,,,,1.0,0.02192213572561741
139,139,,,0.02109720930457115,,
139,139,,,,1.0,0.020011231303215027
140,140,,,0.019204270094633102,,
140,140,,,,1.0,0.0183314997702837
141,141,,,0.017546994611620903,,
141,141,,,,1.0,0.016853895038366318
142,142,,,0.0160930585116148,,
142,142,,,,1.0,0.01555183157324791
143,143,,,0.014815196394920349,,
143,143,,,,1.0,0.014403242617845535
144,144,,,0.013690168038010597,,
144,144,,,,1.0,0.01338739600032568
145,145,,,0.012697488069534302,,
145,145,,,,1.0,0.012487836182117462
146,146,,,0.011819661594927311,,
146,146,,,,1.0,0.011689256876707077
147,147,,,0.011041400954127312,,
147,147,,,,1.0,0.01097826473414898
148,148,,,0.010349518619477749,,
148,148,,,,1.0,0.010343579575419426
149,149,,,0.009732559323310852,,
149,149,,,,1.0,0.009775149635970592
150,150,,,0.009180691093206406,,
150,150,,,,1.0,0.009264472872018814
151,151,,,0.008685487322509289,,
151,151,,,,1.0,0.008804217912256718
152,152,,,0.008239717222750187,,
152,152,,,,1.0,0.008388031274080276
153,153,,,0.007837170735001564,,
153,153,,,,1.0,0.008010683581233025
154,154,,,0.007472544442862272,,
154,154,,,,1.0,0.007667389698326588
155,155,,,0.007141310255974531,,
155,155,,,,1.0,0.007354342378675938
156,156,,,0.006839574780315161,,
156,156,,,,1.0,0.007068042177706957
157,157,,,0.006563997827470303,,
157,157,,,,1.0,0.006805641110986471
158,158,,,0.006311630830168724,,
158,158,,,,1.0,0.006564464885741472
159,159,,,0.006079917307943106,,
159,159,,,,1.0,0.006342398468405008
160,160,,,0.005866722669452429,,
160,160,,,,1.0,0.006137422751635313
161,161,,,0.0056701540015637875,,
161,161,,,,1.0,0.0059477644972503185
162,162,,,0.005488355178385973,,
162,162,,,,1.0,0.005771939642727375
163,163,,,0.0053200433030724525,,
163,163,,,,1.0,0.0056086573749780655
164,164,,,0.00516373198479414,,
164,164,,,,1.0,0.00545663945376873
165,165,,,0.005018299445509911,,
165,165,,,,1.0,0.005314838606864214
166,166,,,0.004882761277258396,,
166,166,,,,1.0,0.0051823267713189125
167,167,,,0.004756104201078415,,
167,167,,,,1.0,0.005058192647993565
168,168,,,0.004637527745217085,,
168,168,,,,1.0,0.004941702354699373
169,169,,,0.0045263576321303844,,
169,169,,,,1.0,0.00483217928558588
170,170,,,0.004421861842274666,,
170,170,,,,1.0,0.004728961270302534
171,171,,,0.004323500208556652,,
171,171,,,,1.0,0.004631515126675367
172,172,,,0.004230613820254803,,
